strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,entry_main_score,exit_reason
策略2_仅3槽_无板块互斥,铁矿石,黑色系,long,2025-12-15,2025-12-25,753.0,778.5,8,0.03386454183266932,0.3333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,豆粕,油脂油料,long,2025-12-16,2025-12-22,2777.0,2741.0,4,-0.012963629816348578,0.9666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,甲醇,化工能化,long,2025-12-17,2025-12-24,2156.0,2172.0,5,0.0074211502782931356,0.8666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铝,有色金属,long,2025-12-23,2026-01-09,22195.0,24385.0,11,0.09867087181797703,0.8333333333333334,tp3_main_turn_down
策略2_仅3槽_无板块互斥,玉米,农产品,long,2025-12-25,2026-01-06,2189.0,2222.0,6,0.01507537688442211,0.8,tp3_main_turn_down
策略2_仅3槽_无板块互斥,铁矿石,黑色系,short,2025-12-26,2025-12-29,783.0,796.5,1,-0.017241379310344827,0.5666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,PTA,化工能化,short,2025-12-30,2026-01-12,5144.0,5142.0,7,0.00038880248833592535,0.9333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,玉米,农产品,short,2026-01-07,2026-01-09,2248.0,2263.0,2,-0.0066725978647686835,0.5,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪锌,有色金属,short,2026-01-12,2026-01-15,24175.0,25090.0,3,-0.03784901758014478,0.5333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,long,2026-01-12,2026-01-15,1238.0,1187.5,3,-0.04079159935379645,0.8,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪金,贵金属,long,2026-01-13,2026-01-20,1030.44,1060.16,5,0.028842048057140662,0.8666666666666667,tp3_main_turn_down
