pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,variety_id,variety_name,S
main~close,171,0.7251461988304093,0.2631578947368421,3.3780750093631523e-09,8.775773742527786e-10,88,0.6931818181818182,81,0.7777777777777778,15,豆二,4
retail~close,171,0.3216374269005848,0.6666666666666666,3.564509052405045e-06,5.645459697922711e-06,88,0.32954545454545453,81,0.32098765432098764,15,豆二,4
main~retail,171,0.2631578947368421,0.7368421052631579,4.4877481307442764e-10,5.565899580347365e-10,86,0.23255813953488372,85,0.29411764705882354,15,豆二,4
main~close,177,0.5649717514124294,0.4124293785310734,0.0979297103970037,0.03787307017140099,91,0.5604395604395604,82,0.5975609756097561,16,豆油,2
retail~close,177,0.2994350282485876,0.6779661016949152,9.73048772250304e-08,3.5861852473119776e-07,91,0.3076923076923077,82,0.3048780487804878,16,豆油,2
main~retail,177,0.3502824858757062,0.6497175141242938,8.295915395809707e-05,6.246097576144602e-05,85,0.32941176470588235,92,0.3695652173913043,16,豆油,2
main~close,174,0.632183908045977,0.3620689655172414,0.0006052447871282058,0.00034573697633351677,88,0.625,85,0.6470588235294118,16,豆油,3
retail~close,174,0.27011494252873564,0.7241379310344828,1.0785770585804873e-09,1.8898289959367957e-09,88,0.23863636363636365,85,0.3058823529411765,16,豆油,3
main~retail,174,0.3333333333333333,0.6666666666666666,1.3051948574184818e-05,9.697898592802146e-06,80,0.3125,94,0.35106382978723405,16,豆油,3
main~close,171,0.7134502923976608,0.2807017543859649,2.2682561847150252e-08,6.6578538152759775e-09,94,0.6702127659574468,76,0.7763157894736842,16,豆油,4
retail~close,171,0.24561403508771928,0.7485380116959064,1.7408982267657085e-11,3.6579190457816476e-11,94,0.26595744680851063,76,0.2236842105263158,16,豆油,4
main~retail,171,0.32748538011695905,0.672514619883041,7.551730187471968e-06,5.873475272254237e-06,84,0.2976190476190476,87,0.3563218390804598,16,豆油,4
main~close,177,0.6214689265536724,0.3615819209039548,0.0015216911970620728,0.0004616263240807941,79,0.6455696202531646,95,0.6210526315789474,17,豆粕,2
retail~close,177,0.3220338983050847,0.6610169491525424,2.50389737820857e-06,2.853009646063658e-06,79,0.26582278481012656,95,0.37894736842105264,17,豆粕,2
main~retail,177,0.1638418079096045,0.8361581920903954,2.0044148326443054e-20,2.948195274059033e-19,81,0.13580246913580246,96,0.1875,17,豆粕,2
main~close,174,0.6724137931034483,0.3160919540229885,6.323060637759498e-06,2.260092091299131e-06,85,0.6470588235294118,87,0.7126436781609196,17,豆粕,3
retail~close,174,0.3045977011494253,0.6839080459770115,2.702667922101861e-07,3.675863981942014e-07,85,0.24705882352941178,87,0.367816091954023,17,豆粕,3
main~retail,174,0.1896551724137931,0.8103448275862069,4.2279735721298745e-17,7.206491658723488e-17,77,0.11688311688311688,97,0.24742268041237114,17,豆粕,3
main~close,171,0.7368421052631579,0.25146198830409355,4.4877481307442764e-10,1.3182241334045452e-10,85,0.6941176470588235,84,0.7976190476190477,17,豆粕,4
retail~close,171,0.3157894736842105,0.672514619883041,1.639643676855498e-06,2.59652742885068e-06,85,0.2823529411764706,84,0.35714285714285715,17,豆粕,4
main~retail,171,0.18128654970760233,0.8187134502923976,9.573452512776568e-18,1.8719611773678543e-17,78,0.10256410256410256,93,0.24731182795698925,17,豆粕,4
main~close,177,0.6214689265536724,0.3559322033898305,0.0015216911970620728,0.00039071908803874517,83,0.6024096385542169,90,0.6666666666666666,18,菜油,2
retail~close,177,0.3502824858757062,0.6271186440677966,8.295915395809707e-05,0.00020730767693333052,83,0.37349397590361444,90,0.34444444444444444,18,菜油,2
main~retail,177,0.23728813559322035,0.7627118644067796,1.391524344688998e-12,3.204897916514088e-12,93,0.21505376344086022,84,0.2619047619047619,18,菜油,2
main~close,174,0.7183908045977011,0.28160919540229884,7.587354643605879e-09,9.06961894068476e-09,84,0.6904761904761905,90,0.7444444444444445,18,菜油,3
retail~close,174,0.3275862068965517,0.6724137931034483,6.323060637759498e-06,5.571444177906418e-06,84,0.3333333333333333,90,0.32222222222222224,18,菜油,3
main~retail,174,0.22988505747126436,0.7701149425287356,4.664600328532964e-13,1.0480191042258316e-12,89,0.20224719101123595,85,0.25882352941176473,18,菜油,3
main~close,171,0.7719298245614035,0.2222222222222222,5.115953576649134e-13,6.920621185428142e-13,80,0.7375,90,0.8111111111111111,18,菜油,4
retail~close,171,0.3333333333333333,0.6608187134502924,1.5596123705589434e-05,2.2200936263373417e-05,80,0.3875,90,0.28888888888888886,18,菜油,4
main~retail,171,0.2573099415204678,0.7426900584795322,1.5654765248120956e-10,3.7752062971800696e-10,95,0.23157894736842105,76,0.2894736842105263,18,菜油,4
main~close,177,0.6666666666666666,0.3107344632768362,1.092425334845219e-05,1.8682160426440279e-06,80,0.675,93,0.6881720430107527,19,菜粕,2
retail~close,177,0.2824858757062147,0.6949152542372882,6.480862454151565e-09,2.352498009376798e-08,80,0.2625,93,0.3118279569892473,19,菜粕,2
main~retail,177,0.1751412429378531,0.8248587570621468,4.783872665402342e-19,4.755436006885031e-18,88,0.14772727272727273,89,0.20224719101123595,19,菜粕,2
main~close,174,0.6954022988505747,0.28735632183908044,2.702667922101861e-07,9.611709938184009e-08,76,0.6710526315789473,95,0.7368421052631579,19,菜粕,3
retail~close,174,0.27586206896551724,0.7068965517241379,2.901034782387597e-09,6.014133983606601e-09,76,0.23684210526315788,95,0.3157894736842105,19,菜粕,3
main~retail,174,0.20689655172413793,0.7931034482758621,2.802942608077484e-15,5.025453480556049e-15,84,0.14285714285714285,90,0.26666666666666666,19,菜粕,3
main~close,171,0.7426900584795322,0.25146198830409355,1.5654765248120956e-10,1.629685943151835e-10,72,0.75,98,0.7448979591836735,19,菜粕,4
retail~close,171,0.2631578947368421,0.7309941520467836,4.4877481307442764e-10,3.9000699013266246e-10,72,0.20833333333333334,98,0.30612244897959184,19,菜粕,4
main~retail,171,0.16374269005847952,0.8362573099415205,8.738712701597344e-20,9.688567835714837e-19,84,0.11904761904761904,87,0.20689655172413793,19,菜粕,4
main~close,177,0.6440677966101694,0.3446327683615819,0.00015548082207836352,5.9500081744411176e-05,87,0.6091954022988506,88,0.6931818181818182,20,棕榈油,2
retail~close,177,0.2711864406779661,0.7175141242937854,9.303678367009963e-10,2.1926501745521106e-09,87,0.3103448275862069,88,0.23863636363636365,20,棕榈油,2
main~retail,177,0.20903954802259886,0.7909604519774012,2.664970289875489e-15,1.3950608374859603e-14,96,0.1875,81,0.2345679012345679,20,棕榈油,2
main~close,174,0.7068965517241379,0.29310344827586204,4.7788627962880375e-08,4.775713742358597e-08,84,0.6309523809523809,90,0.7777777777777778,20,棕榈油,3
retail~close,174,0.2988505747126437,0.7011494252873564,1.1516772913492153e-07,1.215498614359602e-07,84,0.34523809523809523,90,0.25555555555555554,20,棕榈油,3
main~retail,174,0.1896551724137931,0.8103448275862069,4.2279735721298745e-17,4.793026597948347e-16,96,0.14583333333333334,78,0.24358974358974358,20,棕榈油,3
main~close,171,0.7894736842105263,0.2046783625730994,1.1219334241242467e-14,1.1106324242636091e-14,84,0.7261904761904762,86,0.8604651162790697,20,棕榈油,4
retail~close,171,0.21637426900584794,0.7777777777777778,4.14499606869775e-14,1.5627836321069217e-13,84,0.2619047619047619,86,0.1744186046511628,20,棕榈油,4
